Table,Field,Issue Code,Prevalence,Rank
"in (care_site, location, provider)",is primary key (pattern: <table_name>_id),G2-013,high,Medium
"in (care_site, location, provider)",is primary key (pattern: <table_name>_id),G2-013,"in (medium, low)",Low
"in (care_site, location, provider)",is source value (pattern: *_source_value),G2-011,full,Medium
"in (care_site, location, provider)",is source value (pattern: *_source_value),G2-011,medium,Low
"in (care_site, location, provider)",is source value (pattern: *_source_value),G4-002,"in (full, high, medium)",Medium
"in (care_site, location, provider)",is source value (pattern: *_source_value),G4-002,low,Low
"in (care_site, location, provider)",is concept id (pattern:*_concept_id),G1-002,"in (high, medium)",High
"in (care_site, location, provider)",is foreign key (pattern: *_id but not *_concept_id),G2-013,high,Medium
"in (care_site, location, provider)",is foreign key (pattern: *_id but not *_concept_id),G2-013,"in (medium, low)",Low
"in (care_site, location, provider)",is foreign key (pattern: *_id but not *_concept_id),G4-002,full,Medium
"in (care_site, location, provider)","is other (i.e. not a PK. FK, source value or concept id field)",G2-011,low,Low
"in (care_site, location, provider)","is other (i.e. not a PK. FK, source value or concept id field)",G4-002,"in (full, high, medium)",Medium
"in (care_site, location, provider)","is other (i.e. not a PK. FK, source value or concept id field)",G4-002,low,Low
